,filename,x,y,floor,sample_id,timestamp,00:15:f9:6c:7d:71,00:11:21:6c:4e:72,00:11:21:6c:4e:71,00:15:f9:6c:7d:21,00:11:21:6c:4e:70,00:15:f9:6c:7d:20,00:15:f9:6c:7d:22,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:15:f9:6c:7d:70,00:15:f9:6c:7d:72,00:11:21:6c:50:e0,00:12:da:9e:32:31,00:12:da:9e:32:30,00:12:da:9e:32:32,00:11:21:66:75:82,00:11:21:66:75:81,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:11:21:66:75:80,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d0,00:17:df:7d:70:51,00:17:df:7d:70:52,00:17:df:7d:70:50,88:e3:ab:11:f4:ee,00:12:80:17:ac:ae,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:43:f1:c4:40,30:8d:99:64:aa:8d,b0:5b:67:c2:a0:16,00:12:43:f1:c4:42,00:12:43:f1:c4:41,bc:14:01:9c:37:08,bc:14:01:9c:37:09,00:12:da:9e:31:91,error
56,"altPoint(20,1).json",10.0,0.5,2,16,1461871681077,-70.0,-90.0,-89.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-72.0,-72.0,-100.0,-78.0,-79.0,-78.0,-85.0,-86.0,-56.0,-56.0,-100.0,-70.0,-68.0,-56.0,-68.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
57,"altPoint(20,1).json",10.0,0.5,2,17,1461871681077,-72.0,-88.0,-89.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-69.0,-73.0,-100.0,-80.0,-84.0,-79.0,-85.0,-88.0,-56.0,-56.0,-88.0,-71.0,-71.0,-56.0,-71.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
58,"altPoint(20,1).json",10.0,0.5,2,18,1461871681077,-72.0,-88.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-68.0,-100.0,-77.0,-77.0,-77.0,-85.0,-88.0,-56.0,-56.0,-86.0,-70.0,-71.0,-56.0,-69.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
59,"altPoint(20,1).json",10.0,0.5,2,19,1461871681077,-70.0,-88.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-68.0,-100.0,-78.0,-76.0,-77.0,-86.0,-85.0,-56.0,-56.0,-85.0,-70.0,-71.0,-56.0,-70.0,-100.0,-100.0,-100.0,-89.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
60,"point(20,1).json",10.0,0.5,2,0,1461865628664,-75.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-74.0,-100.0,-78.0,-79.0,-78.0,-84.0,-88.0,-62.0,-62.0,-100.0,-69.0,-69.0,-62.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
61,"point(20,1).json",10.0,0.5,2,1,1461865628664,-82.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-81.0,-100.0,-87.0,-79.0,-87.0,-87.0,-89.0,-61.0,-61.0,-100.0,-70.0,-70.0,-60.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
62,"point(20,1).json",10.0,0.5,2,2,1461865628664,-71.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-71.0,-100.0,-82.0,-81.0,-81.0,-87.0,-89.0,-58.0,-58.0,-87.0,-72.0,-72.0,-58.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
63,"point(20,1).json",10.0,0.5,2,3,1461865628664,-72.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-72.0,-100.0,-81.0,-81.0,-82.0,-87.0,-89.0,-58.0,-57.0,-87.0,-70.0,-70.0,-58.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
64,"point(20,1).json",10.0,0.5,2,4,1461865628664,-72.0,-90.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-72.0,-100.0,-79.0,-81.0,-79.0,-87.0,-87.0,-62.0,-63.0,-86.0,-68.0,-68.0,-62.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
65,"point(20,1).json",10.0,0.5,2,5,1461865628664,-72.0,-90.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-70.0,-100.0,-82.0,-80.0,-82.0,-86.0,-87.0,-53.0,-53.0,-86.0,-70.0,-70.0,-53.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
66,"point(20,1).json",10.0,0.5,2,6,1461865628664,-72.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-72.0,-72.0,-100.0,-80.0,-80.0,-80.0,-86.0,-86.0,-54.0,-54.0,-100.0,-71.0,-70.0,-55.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
67,"point(20,1).json",10.0,0.5,2,7,1461865628664,-70.0,-89.0,-88.0,-100.0,-90.0,-100.0,-100.0,-100.0,-100.0,-71.0,-72.0,-100.0,-81.0,-80.0,-81.0,-86.0,-86.0,-54.0,-55.0,-100.0,-70.0,-70.0,-55.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
68,"point(20,1).json",10.0,0.5,2,8,1461865628664,-72.0,-90.0,-86.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-73.0,-69.0,-100.0,-82.0,-79.0,-83.0,-100.0,-88.0,-55.0,-55.0,-100.0,-71.0,-71.0,-56.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
69,"point(20,1).json",10.0,0.5,2,9,1461865628664,-73.0,-89.0,-88.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-74.0,-75.0,-100.0,-80.0,-80.0,-80.0,-85.0,-86.0,-56.0,-57.0,-86.0,-71.0,-71.0,-57.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
70,"point(20,1).json",10.0,0.5,2,10,1461865628664,-70.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-68.0,-100.0,-83.0,-83.0,-84.0,-86.0,-86.0,-63.0,-67.0,-86.0,-66.0,-67.0,-67.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
71,"point(20,1).json",10.0,0.5,2,11,1461865628664,-71.0,-90.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-72.0,-100.0,-83.0,-80.0,-84.0,-86.0,-87.0,-56.0,-56.0,-87.0,-68.0,-68.0,-56.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
72,"point(20,1).json",10.0,0.5,2,12,1461865628664,-70.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-70.0,-100.0,-80.0,-80.0,-81.0,-85.0,-85.0,-55.0,-55.0,-87.0,-67.0,-68.0,-55.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
73,"point(20,1).json",10.0,0.5,2,13,1461865628664,-75.0,-88.0,-88.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-70.0,-73.0,-100.0,-79.0,-79.0,-80.0,-85.0,-85.0,-54.0,-53.0,-87.0,-68.0,-68.0,-53.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
74,"point(20,1).json",10.0,0.5,2,14,1461865628664,-67.0,-88.0,-100.0,-100.0,-88.0,-100.0,-100.0,-100.0,-100.0,-69.0,-67.0,-100.0,-79.0,-78.0,-78.0,-100.0,-100.0,-61.0,-61.0,-87.0,-69.0,-67.0,-61.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
75,"point(20,1).json",10.0,0.5,2,15,1461865628664,-69.0,-89.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-67.0,-100.0,-80.0,-81.0,-80.0,-86.0,-86.0,-62.0,-62.0,-86.0,-68.0,-68.0,-62.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
76,"point(20,1).json",10.0,0.5,2,16,1461865628664,-71.0,-89.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-71.0,-100.0,-80.0,-81.0,-80.0,-85.0,-86.0,-62.0,-62.0,-86.0,-68.0,-68.0,-62.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
77,"point(20,1).json",10.0,0.5,2,17,1461865628664,-83.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-71.0,-100.0,-81.0,-83.0,-81.0,-88.0,-86.0,-54.0,-55.0,-85.0,-69.0,-69.0,-55.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
78,"point(20,1).json",10.0,0.5,2,18,1461865628664,-70.0,-90.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-71.0,-70.0,-100.0,-79.0,-83.0,-80.0,-84.0,-86.0,-55.0,-56.0,-85.0,-66.0,-67.0,-56.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
79,"point(20,1).json",10.0,0.5,2,19,1461865628664,-71.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-72.0,-100.0,-81.0,-100.0,-80.0,-84.0,-86.0,-56.0,-56.0,-100.0,-67.0,-67.0,-56.0,-66.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
80,"altPoint(27,10).json",13.5,5.0,2,0,1461871210576,-48.0,-77.0,-78.0,-100.0,-78.0,-87.0,-88.0,-83.0,-86.0,-48.0,-48.0,-89.0,-61.0,-61.0,-59.0,-80.0,-81.0,-81.0,-81.0,-82.0,-85.0,-84.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
81,"altPoint(27,10).json",13.5,5.0,2,1,1461871210576,-53.0,-79.0,-82.0,-90.0,-78.0,-87.0,-89.0,-88.0,-88.0,-54.0,-54.0,-87.0,-56.0,-57.0,-56.0,-80.0,-79.0,-80.0,-81.0,-82.0,-86.0,-84.0,-81.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
82,"altPoint(27,10).json",13.5,5.0,2,2,1461871210576,-55.0,-78.0,-82.0,-87.0,-78.0,-100.0,-89.0,-89.0,-89.0,-55.0,-56.0,-89.0,-57.0,-57.0,-56.0,-77.0,-78.0,-81.0,-81.0,-79.0,-86.0,-100.0,-83.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
83,"altPoint(27,10).json",13.5,5.0,2,3,1461871210576,-48.0,-79.0,-78.0,-87.0,-77.0,-100.0,-100.0,-90.0,-88.0,-48.0,-47.0,-89.0,-57.0,-57.0,-56.0,-78.0,-78.0,-82.0,-82.0,-79.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
84,"altPoint(27,10).json",13.5,5.0,2,4,1461871210576,-53.0,-77.0,-77.0,-100.0,-77.0,-100.0,-100.0,-86.0,-88.0,-55.0,-55.0,-89.0,-56.0,-56.0,-56.0,-79.0,-79.0,-83.0,-84.0,-82.0,-84.0,-84.0,-83.0,-87.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
85,"altPoint(27,10).json",13.5,5.0,2,5,1461871210576,-55.0,-79.0,-79.0,-100.0,-78.0,-100.0,-87.0,-89.0,-87.0,-56.0,-55.0,-87.0,-57.0,-56.0,-56.0,-79.0,-79.0,-78.0,-78.0,-81.0,-84.0,-84.0,-78.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
86,"altPoint(27,10).json",13.5,5.0,2,6,1461871210576,-54.0,-77.0,-76.0,-100.0,-78.0,-100.0,-87.0,-88.0,-87.0,-55.0,-55.0,-87.0,-56.0,-55.0,-55.0,-80.0,-80.0,-81.0,-81.0,-80.0,-83.0,-87.0,-82.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
87,"altPoint(27,10).json",13.5,5.0,2,7,1461871210576,-55.0,-78.0,-76.0,-100.0,-78.0,-89.0,-86.0,-86.0,-86.0,-54.0,-55.0,-89.0,-56.0,-55.0,-56.0,-79.0,-79.0,-78.0,-78.0,-80.0,-83.0,-87.0,-78.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
88,"altPoint(27,10).json",13.5,5.0,2,8,1461871210576,-55.0,-78.0,-77.0,-89.0,-76.0,-87.0,-86.0,-86.0,-89.0,-53.0,-54.0,-88.0,-56.0,-56.0,-54.0,-79.0,-79.0,-81.0,-81.0,-81.0,-86.0,-100.0,-82.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
89,"altPoint(27,10).json",13.5,5.0,2,9,1461871210576,-54.0,-79.0,-78.0,-87.0,-78.0,-87.0,-91.0,-86.0,-87.0,-53.0,-54.0,-88.0,-57.0,-56.0,-56.0,-78.0,-78.0,-81.0,-81.0,-78.0,-89.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
90,"altPoint(27,10).json",13.5,5.0,2,10,1461871210576,-54.0,-79.0,-78.0,-87.0,-80.0,-87.0,-91.0,-87.0,-87.0,-54.0,-53.0,-90.0,-57.0,-58.0,-57.0,-78.0,-80.0,-79.0,-79.0,-80.0,-89.0,-85.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
91,"altPoint(27,10).json",13.5,5.0,2,11,1461871210576,-54.0,-80.0,-80.0,-88.0,-80.0,-88.0,-86.0,-87.0,-84.0,-55.0,-55.0,-85.0,-62.0,-62.0,-58.0,-80.0,-80.0,-79.0,-80.0,-86.0,-100.0,-84.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
92,"altPoint(27,10).json",13.5,5.0,2,12,1461871210576,-48.0,-79.0,-80.0,-88.0,-79.0,-88.0,-87.0,-85.0,-87.0,-48.0,-48.0,-88.0,-56.0,-56.0,-56.0,-80.0,-80.0,-79.0,-79.0,-79.0,-100.0,-84.0,-80.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
93,"altPoint(27,10).json",13.5,5.0,2,13,1461871210576,-47.0,-76.0,-78.0,-85.0,-78.0,-100.0,-87.0,-85.0,-86.0,-47.0,-54.0,-87.0,-56.0,-56.0,-55.0,-80.0,-82.0,-80.0,-81.0,-79.0,-82.0,-100.0,-82.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
94,"altPoint(27,10).json",13.5,5.0,2,14,1461871210576,-48.0,-77.0,-77.0,-85.0,-76.0,-87.0,-86.0,-88.0,-90.0,-48.0,-47.0,-88.0,-56.0,-56.0,-56.0,-79.0,-79.0,-81.0,-81.0,-80.0,-87.0,-86.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
95,"altPoint(27,10).json",13.5,5.0,2,15,1461871210576,-50.0,-79.0,-79.0,-100.0,-79.0,-87.0,-86.0,-88.0,-89.0,-49.0,-50.0,-90.0,-56.0,-55.0,-56.0,-80.0,-79.0,-80.0,-80.0,-79.0,-85.0,-86.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
96,"altPoint(27,10).json",13.5,5.0,2,16,1461871210576,-47.0,-78.0,-76.0,-100.0,-79.0,-87.0,-86.0,-87.0,-83.0,-46.0,-47.0,-90.0,-55.0,-55.0,-55.0,-78.0,-78.0,-79.0,-82.0,-80.0,-82.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
97,"altPoint(27,10).json",13.5,5.0,2,17,1461871210576,-55.0,-76.0,-77.0,-88.0,-77.0,-89.0,-88.0,-86.0,-85.0,-55.0,-55.0,-82.0,-55.0,-55.0,-55.0,-80.0,-81.0,-81.0,-81.0,-80.0,-85.0,-83.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
98,"altPoint(27,10).json",13.5,5.0,2,18,1461871210576,-54.0,-77.0,-77.0,-87.0,-77.0,-88.0,-87.0,-89.0,-87.0,-54.0,-53.0,-88.0,-56.0,-56.0,-57.0,-79.0,-79.0,-80.0,-81.0,-80.0,-83.0,-83.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
99,"altPoint(27,10).json",13.5,5.0,2,19,1461871210576,-64.0,-77.0,-79.0,-87.0,-77.0,-88.0,-87.0,-87.0,-88.0,-64.0,-48.0,-89.0,-56.0,-57.0,-57.0,-82.0,-80.0,-80.0,-80.0,-81.0,-85.0,-82.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
100,"point(27,10).json",13.5,5.0,2,0,1461866391052,-51.0,-79.0,-78.0,-100.0,-80.0,-87.0,-88.0,-88.0,-89.0,-51.0,-51.0,-100.0,-66.0,-66.0,-65.0,-80.0,-79.0,-80.0,-80.0,-77.0,-86.0,-88.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
101,"point(27,10).json",13.5,5.0,2,1,1461866391052,-50.0,-78.0,-100.0,-86.0,-80.0,-85.0,-85.0,-88.0,-89.0,-49.0,-49.0,-100.0,-65.0,-65.0,-65.0,-79.0,-80.0,-79.0,-81.0,-77.0,-81.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
102,"point(27,10).json",13.5,5.0,2,2,1461866391052,-49.0,-77.0,-81.0,-86.0,-100.0,-85.0,-86.0,-100.0,-100.0,-50.0,-50.0,-100.0,-69.0,-70.0,-69.0,-78.0,-77.0,-76.0,-76.0,-78.0,-82.0,-86.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
103,"point(27,10).json",13.5,5.0,2,3,1461866391052,-49.0,-80.0,-82.0,-86.0,-80.0,-100.0,-86.0,-100.0,-87.0,-50.0,-49.0,-89.0,-68.0,-68.0,-68.0,-78.0,-77.0,-78.0,-82.0,-78.0,-82.0,-84.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
104,"point(27,10).json",13.5,5.0,2,4,1461866391052,-49.0,-80.0,-81.0,-86.0,-80.0,-88.0,-86.0,-100.0,-87.0,-50.0,-50.0,-89.0,-67.0,-67.0,-67.0,-82.0,-81.0,-79.0,-81.0,-77.0,-100.0,-84.0,-81.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
105,"point(27,10).json",13.5,5.0,2,5,1461866391052,-64.0,-80.0,-79.0,-87.0,-80.0,-88.0,-89.0,-100.0,-100.0,-64.0,-50.0,-100.0,-67.0,-67.0,-67.0,-76.0,-81.0,-80.0,-79.0,-77.0,-86.0,-86.0,-80.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
106,"point(27,10).json",13.5,5.0,2,6,1461866391052,-50.0,-81.0,-79.0,-87.0,-84.0,-86.0,-88.0,-100.0,-100.0,-50.0,-50.0,-100.0,-68.0,-68.0,-69.0,-82.0,-81.0,-76.0,-79.0,-82.0,-78.0,-86.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
107,"point(27,10).json",13.5,5.0,2,7,1461866391052,-50.0,-79.0,-79.0,-87.0,-84.0,-86.0,-85.0,-100.0,-100.0,-50.0,-49.0,-88.0,-68.0,-69.0,-68.0,-81.0,-82.0,-81.0,-80.0,-82.0,-88.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
108,"point(27,10).json",13.5,5.0,2,8,1461866391052,-49.0,-79.0,-79.0,-84.0,-80.0,-86.0,-85.0,-100.0,-84.0,-50.0,-50.0,-89.0,-67.0,-67.0,-67.0,-80.0,-81.0,-73.0,-73.0,-100.0,-83.0,-81.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
109,"point(27,10).json",13.5,5.0,2,9,1461866391052,-50.0,-80.0,-80.0,-84.0,-80.0,-88.0,-88.0,-100.0,-89.0,-50.0,-49.0,-89.0,-68.0,-69.0,-68.0,-80.0,-80.0,-78.0,-79.0,-81.0,-83.0,-81.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
110,"point(27,10).json",13.5,5.0,2,10,1461866391052,-49.0,-79.0,-81.0,-86.0,-81.0,-88.0,-87.0,-100.0,-89.0,-50.0,-49.0,-88.0,-68.0,-68.0,-67.0,-80.0,-79.0,-76.0,-77.0,-80.0,-100.0,-100.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
111,"point(27,10).json",13.5,5.0,2,11,1461866391052,-64.0,-84.0,-81.0,-86.0,-81.0,-85.0,-87.0,-100.0,-90.0,-64.0,-64.0,-88.0,-70.0,-68.0,-69.0,-78.0,-81.0,-76.0,-76.0,-81.0,-100.0,-100.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
112,"point(27,10).json",13.5,5.0,2,12,1461866391052,-50.0,-84.0,-100.0,-85.0,-83.0,-85.0,-100.0,-100.0,-90.0,-50.0,-50.0,-100.0,-68.0,-68.0,-67.0,-81.0,-81.0,-77.0,-77.0,-81.0,-100.0,-80.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-54.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
113,"point(27,10).json",13.5,5.0,2,13,1461866391052,-49.0,-80.0,-82.0,-85.0,-83.0,-100.0,-87.0,-88.0,-88.0,-50.0,-50.0,-100.0,-64.0,-65.0,-64.0,-81.0,-78.0,-74.0,-74.0,-79.0,-100.0,-80.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
114,"point(27,10).json",13.5,5.0,2,14,1461866391052,-47.0,-77.0,-76.0,-100.0,-77.0,-100.0,-87.0,-87.0,-87.0,-47.0,-47.0,-100.0,-65.0,-66.0,-65.0,-76.0,-78.0,-75.0,-76.0,-82.0,-88.0,-100.0,-75.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-37.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
